county,state,cases,deaths,2020 population
Autauga,Alabama,4190,48.0,58877
Baldwin,Alabama,13601,161.0,233140
Barbour,Alabama,1514,32.0,25180
Bibb,Alabama,1834,46.0,22223
Blount,Alabama,4641,63.0,59081
Bullock,Alabama,859,22.0,10309
Butler,Alabama,1508,45.0,19045
Calhoun,Alabama,9494,156.0,116266
Chambers,Alabama,2341,63.0,34678
Cherokee,Alabama,1414,22.0,24958
Chilton,Alabama,2970,54.0,45024
Choctaw,Alabama,490,22.0,12619
Clarke,Alabama,2390,25.0,22995
Clay,Alabama,1141,34.0,14193
Cleburne,Alabama,1026,16.0,15035
Coffee,Alabama,3594,38.0,53565
Colbert,Alabama,4660,60.0,57236
Conecuh,Alabama,837,17.0,11552
Coosa,Alabama,517,7.0,10383
Covington,Alabama,2913,40.0,37469
Crenshaw,Alabama,954,36.0,13157
Cullman,Alabama,7079,78.0,88044
Dale,Alabama,3325,63.0,49214
Dallas,Alabama,2769,43.0,38190
DeKalb,Alabama,6900,61.0,71630
Elmore,Alabama,6435,83.0,88116
Escambia,Alabama,2661,34.0,36665
Etowah,Alabama,10031,94.0,103393
Fayette,Alabama,1430,19.0,16307
Franklin,Alabama,3270,37.0,32063
Geneva,Alabama,1677,20.0,26675
Greene,Alabama,672,20.0,7704
Hale,Alabama,1440,33.0,14792
Henry,Alabama,1247,8.0,17167
Houston,Alabama,7279,64.0,107190
Jackson,Alabama,5097,34.0,52519
Jefferson,Alabama,52339,697.0,673341
Lamar,Alabama,1056,15.0,13943
Lauderdale,Alabama,6478,70.0,93610
Lawrence,Alabama,2044,42.0,33063
Lee,Alabama,10320,75.0,174601
Limestone,Alabama,6822,58.0,104322
Lowndes,Alabama,945,32.0,10297
Macon,Alabama,999,30.0,19476
Madison,Alabama,22197,178.0,389696
Marengo,Alabama,1793,26.0,19264
Marion,Alabama,2087,43.0,29287
Marshall,Alabama,9189,86.0,97608
Mobile,Alabama,25858,506.0,414250
Monroe,Alabama,1215,11.0,19723
Montgomery,Alabama,16116,276.0,228448
Morgan,Alabama,10627,87.0,123336
Perry,Alabama,867,10.0,8452
Pickens,Alabama,1734,26.0,19062
Pike,Alabama,2023,23.0,32981
