county,state,cases,deaths
Autauga,Alabama,4190,48.0
Baldwin,Alabama,13601,161.0
Barbour,Alabama,1514,32.0
Bibb,Alabama,1834,46.0
Blount,Alabama,4641,63.0
Bullock,Alabama,859,22.0
Butler,Alabama,1508,45.0
Calhoun,Alabama,9494,156.0
Chambers,Alabama,2341,63.0
Cherokee,Alabama,1414,22.0
Chilton,Alabama,2970,54.0
Choctaw,Alabama,490,22.0
Clarke,Alabama,2390,25.0
Clay,Alabama,1141,34.0
Cleburne,Alabama,1026,16.0
Coffee,Alabama,3594,38.0
Colbert,Alabama,4660,60.0
Conecuh,Alabama,837,17.0
Coosa,Alabama,517,7.0
Covington,Alabama,2913,40.0
Crenshaw,Alabama,954,36.0
Cullman,Alabama,7079,78.0
Dale,Alabama,3325,63.0
Dallas,Alabama,2769,43.0
DeKalb,Alabama,6900,61.0
Elmore,Alabama,6435,83.0
Escambia,Alabama,2661,34.0
Etowah,Alabama,10031,94.0
Fayette,Alabama,1430,19.0
Franklin,Alabama,3270,37.0
Geneva,Alabama,1677,20.0
Greene,Alabama,672,20.0
Hale,Alabama,1440,33.0
Henry,Alabama,1247,8.0
Houston,Alabama,7279,64.0
Jackson,Alabama,5097,34.0
Jefferson,Alabama,52339,697.0
Lamar,Alabama,1056,15.0
Lauderdale,Alabama,6478,70.0
Lawrence,Alabama,2044,42.0
Lee,Alabama,10320,75.0
Limestone,Alabama,6822,58.0
Lowndes,Alabama,945,32.0
Macon,Alabama,999,30.0
Madison,Alabama,22197,178.0
Marengo,Alabama,1793,26.0
Marion,Alabama,2087,43.0
Marshall,Alabama,9189,86.0
Mobile,Alabama,25858,506.0
Monroe,Alabama,1215,11.0
Montgomery,Alabama,16116,276.0
Morgan,Alabama,10627,87.0
Perry,Alabama,867,10.0
Pickens,Alabama,1734,26.0
Pike,Alabama,2023,23.0
Randolph,Alabama,1245,30.0
Russell,Alabama,2793,6.0
Shelby,Alabama,15668,103.0
St. Clair,Alabama,6467,73.0
Sumter,Alabama,849,24.0
Talladega,Alabama,5165,75.0
Tallapoosa,Alabama,2368,98.0
Tuscaloosa,Alabama,18468,218.0
Walker,Alabama,5259,138.0
Washington,Alabama,1184,24.0
Wilcox,Alabama,883,19.0
Winston,Alabama,1968,30.0
Aleutians East Borough,Alaska,38,0.0
Aleutians West Census Area,Alaska,197,0.0
Anchorage,Alaska,22820,118.0
Bethel Census Area,Alaska,2427,9.0
Bristol Bay plus Lake and Peninsula,Alaska,157,0.0
Denali Borough,Alaska,59,0.0
Dillingham Census Area,Alaska,121,1.0
Fairbanks North Star Borough,Alaska,4900,19.0
Haines Borough,Alaska,20,0.0
Juneau City and Borough,Alaska,1030,3.0
Kenai Peninsula Borough,Alaska,3604,15.0
Ketchikan Gateway Borough,Alaska,236,0.0
Kodiak Island Borough,Alaska,912,2.0
Kusilvak Census Area,Alaska,767,2.0
Matanuska-Susitna Borough,Alaska,6353,16.0
Nome Census Area,Alaska,275,0.0
North Slope Borough,Alaska,798,2.0
Northwest Arctic Borough,Alaska,401,0.0
Petersburg Borough,Alaska,27,0.0
Prince of Wales-Hyder Census Area,Alaska,67,1.0
Sitka City and Borough,Alaska,266,0.0
Skagway Municipality,Alaska,16,0.0
Southeast Fairbanks Census Area,Alaska,406,3.0
Unknown,Alaska,218,0.0
Valdez-Cordova Census Area,Alaska,341,2.0
Wrangell City and Borough,Alaska,24,0.0
Yakutat plus Hoonah-Angoon,Alaska,51,1.0
Yukon-Koyukuk Census Area,Alaska,209,4.0
Apache,Arizona,7438,237.0
Cochise,Arizona,7480,130.0
Coconino,Arizona,11126,210.0
Gila,Arizona,4517,135.0
Graham,Arizona,3228,51.0
Greenlee,Arizona,400,4.0
La Paz,Arizona,1464,35.0
Maricopa,Arizona,322449,5125.0
Mohave,Arizona,12573,344.0
Navajo,Arizona,11296,342.0
Pima,Arizona,69522,1064.0
Pinal,Arizona,27649,367.0
Santa Cruz,Arizona,6002,98.0
Yavapai,Arizona,11319,218.0
Yuma,Arizona,27366,519.0
Arkansas,Arkansas,1314,30.0
Ashley,Arkansas,1273,21.0
Baxter,Arkansas,2065,71.0
Benton,Arkansas,17758,264.0
Boone,Arkansas,2571,68.0
Bradley,Arkansas,940,11.0
Calhoun,Arkansas,234,1.0
Carroll,Arkansas,2073,30.0
Chicot,Arkansas,1410,30.0
Clark,Arkansas,1371,21.0
Clay,Arkansas,1317,30.0
Cleburne,Arkansas,1236,38.0
Cleveland,Arkansas,571,17.0
Columbia,Arkansas,1567,41.0
Conway,Arkansas,1306,16.0
Craighead,Arkansas,10077,136.0
Crawford,Arkansas,4451,58.0
Crittenden,Arkansas,4319,73.0
Cross,Arkansas,1394,36.0
Dallas,Arkansas,482,11.0
Desha,Arkansas,953,11.0
Drew,Arkansas,1448,19.0
Faulkner,Arkansas,7618,92.0
Franklin,Arkansas,1088,25.0
Fulton,Arkansas,884,36.0
Garland,Arkansas,5782,153.0
Grant,Arkansas,1071,12.0
Greene,Arkansas,4431,51.0
Hempstead,Arkansas,1220,11.0
Hot Spring,Arkansas,3636,55.0
Howard,Arkansas,1106,18.0
Independence,Arkansas,2751,93.0
Izard,Arkansas,1298,13.0
Jackson,Arkansas,2821,22.0
Jefferson,Arkansas,6718,127.0
Johnson,Arkansas,1823,20.0
Lafayette,Arkansas,342,4.0
Lawrence,Arkansas,1574,35.0
Lee,Arkansas,1430,26.0
Lincoln,Arkansas,2820,24.0
Little River,Arkansas,821,38.0
Logan,Arkansas,1419,11.0
Lonoke,Arkansas,4133,79.0
Madison,Arkansas,1025,12.0
Marion,Arkansas,629,24.0
Miller,Arkansas,2749,25.0
Mississippi,Arkansas,4393,94.0
Monroe,Arkansas,475,7.0
Montgomery,Arkansas,492,18.0
Nevada,Arkansas,594,20.0
Newton,Arkansas,553,24.0
Ouachita,Arkansas,1370,27.0
Perry,Arkansas,438,5.0
Phillips,Arkansas,1264,25.0
Pike,Arkansas,685,10.0
Poinsett,Arkansas,2406,62.0
Polk,Arkansas,1255,42.0
Pope,Arkansas,5448,58.0
Prairie,Arkansas,545,16.0
Pulaski,Arkansas,24662,390.0
Randolph,Arkansas,1455,42.0
Saline,Arkansas,7563,104.0
Scott,Arkansas,588,11.0
Searcy,Arkansas,503,11.0
Sebastian,Arkansas,9514,156.0
Sevier,Arkansas,2079,20.0
Sharp,Arkansas,1134,32.0
St. Francis,Arkansas,2728,20.0
Stone,Arkansas,765,27.0
Union,Arkansas,2428,73.0
Unknown,Arkansas,2819,0.0
Van Buren,Arkansas,743,8.0
Washington,Arkansas,21420,222.0
White,Arkansas,4748,69.0
Woodruff,Arkansas,362,2.0
Yell,Arkansas,2390,42.0
Alameda,California,51611,657.0
Alpine,California,65,0.0
Amador,California,2417,24.0
Butte,California,7390,96.0
Calaveras,California,1131,22.0
Colusa,California,1351,8.0
Contra Costa,California,40697,335.0
Del Norte,California,760,2.0
El Dorado,California,5590,22.0
Fresno,California,65400,646.0
Glenn,California,1458,14.0
Humboldt,California,1764,22.0
Imperial,California,22267,419.0
Inyo,California,571,20.0
Kern,California,68969,512.0
Kings,California,16114,110.0
Lake,California,1817,23.0
Lassen,California,4691,9.0
Los Angeles,California,770915,10345.0
Madera,California,10491,117.0
Marin,California,9800,139.0
Mariposa,California,252,4.0
Mendocino,California,2558,26.0
Merced,California,19444,260.0
Modoc,California,323,1.0
Mono,California,868,4.0
Monterey,California,27859,193.0
Napa,California,5742,28.0
Nevada,California,2609,50.0
Orange,California,166196,1875.0
Placer,California,13755,125.0
Plumas,California,398,1.0
Riverside,California,180553,1985.0
Sacramento,California,65540,857.0
San Benito,California,3673,29.0
San Bernardino,California,194377,1445.0
San Diego,California,155658,1534.0
San Francisco,California,23227,186.0
San Joaquin,California,45583,651.0
San Luis Obispo,California,10490,82.0
San Mateo,California,24589,227.0
